Row Labels,Sum of Crimes
Barking and Dagenham,39456
Barnet,59167
Bexley,33929
Brent,59257
Bromley,47499
Camden,70347
Croydon,67296
Ealing,61272
Enfield,59442
Greenwich,54960
Hackney,65618
Hammersmith and Fulham,43449
Haringey,61474
Harrow,33274
Havering,36235
Hillingdon,52745
Hounslow,51718
Islington,56300
Kensington and Chelsea,43581
Kingston upon Thames,24740
Lambeth,67679
Lewisham,56882
London Heathrow and London City Airports,5303
Merton,28294
Newham,69659
Redbridge,47398
Richmond upon Thames,25281
Southwark,72753
Sutton,27146
Tower Hamlets,67146
Waltham Forest,47946
Wandsworth,51171
Westminster,134848
