Name,District,Population
,,Census
,,12/12/2020
Abayah,Qurayy?t,162
Adan,Al-'?mr?t,"4,317"
Ad-Dabkah,Al-'?mr?t,81
Al-Amrat,Al-'?mr?t,"96,384"
Al-Aqbah,Qurayy?t,135
Al-Aqbiyah,Bawshar,69
Al-Atab,Qurayy?t,132
Al-Atkiyah,Al-'?mr?t,"4,707"
Al-Batha,Qurayy?t,91
Al-Fajj,Qurayy?t,56
Al-Fard,Al-'?mr?t,261
Al-Fayyad,Qurayy?t,160
Al-Fulayj,Qurayy?t,192
Al-Habbasah,Masqa?,62
Al-Habubiyah,Qurayy?t,439
Al-Hajir,Al-'?mr?t,"2,865"
Al-Hajir Range,Al-'?mr?t,257
Al-Hammam,Bawshar,302
Al-Hanyah,Al-'?mr?t,95
Al-Himdi,Al-'?mr?t,53
Al-Himyaniyah,Al-'?mr?t,73
Al-Jissah,Masqa?,51
Al-Khars,Al-'?mr?t,90
Al-Khawd al-Qadimah,As-S?b,"2,817"
Al-Khiran,Masqa?,"1,050"
Al-Khityah,Masqa?,67
Al-Khuwayrat,Al-'?mr?t,263
Al-Lismu,Qurayy?t,549
Al-Luhlu,Masqa?,136
Al-Madam,Al-'?mr?t,70
Al-Maghrah,Qurayy?t,67
Al-Mandhriyah,Al-'?mr?t,183
Al-Markaz,Al-'?mr?t,58
Al-Masjulah,Qurayy?t,60
Al-Mazari,Qurayy?t,"2,090"
Al-Mazra al-Alwi,Al-'?mr?t,65
Al-Mazra al-Hadri,Al-'?mr?t,166
Al-Mijami,Al-'?mr?t,61
Al-Misfah,Qurayy?t,853
Al-Misfah al-Gharbiyah,Bawshar,784
Al-Misfah ash-Sharqiyah,Bawshar,448
Al-Mitqablat,Qurayy?t,89
Al-Multaqa,Al-'?mr?t,198
Al-Mutayrih,Al-'?mr?t,232
Al-Wasit,Al-'?mr?t,"1,251"
Al-Widyah,Masqa?,96
Al-Ya,Qurayy?t,89
Arqi,Qurayy?t,495
Ar-Rija,Al-'?mr?t,150
Ar-Rija,Al-'?mr?t,65
Ash-Shikayli,Al-'?mr?t,290
As-Sawaqim,Qurayy?t,916
As-Sibÿ[Seeb],As-S?b,"470,878"
As-Sifah,Masqa?,"1,674"
As-Silil,Qurayy?t,229
As-Sudayrat,Al-'?mr?t,"1,438"
As-Sumayr,Qurayy?t,126
As-Suwaydifi,Bawshar,"12,822"
As-Suwayh,Qurayy?t,175
At-Tabah,Qurayy?t,124
At-Tibaybah,Al-'?mr?t,122
At-Turayf,Qurayy?t,415
At-Turaymdi,Al-'?mr?t,99
At-Tuwayyat,As-S?b,"4,822"
Bahs,Masqa?,68
Bai,Al-'?mr?t,210
Bamah,Qurayy?t,797
Bawshar,Bawshar,"362,523"
Bayt,Al-'?mr?t,641
Daghmar,Qurayy?t,"5,633"
Dibab,Qurayy?t,"1,177"
Dim,Al-'?mr?t,118
Falaj ash-Sham,Bawshar,"4,361"
Falaj at-Turayf,Qurayy?t,164
Fayq,Qurayy?t,271
Fins,Qurayy?t,"1,911"
Haqam,Al-'?mr?t,60
Hayfadh,Qurayy?t,954
Hayl al-Ghaf,Qurayy?t,"4,262"
Hiyyam,Al-'?mr?t,204
Jahlut,Al-'?mr?t,"2,574"
Kabkab,Al-'?mr?t,72
Kayba,Masqa?,100
Khabb al-Jamal,Masqa?,61
Kid,Al-'?mr?t,98
Matrahÿ[Muttrah],Ma?ra?,"230,881"
Mawal,Qurayy?t,50
Mihya,Qurayy?t,959
Mikab,Al-'?mr?t,"1,558"
Miqayhfah,Al-'?mr?t,56
Muscat,Masqa?,"24,099"
Qatar,Qurayy?t,147
Qayd,Al-'?mr?t,176
Qifil,Al-'?mr?t,79
Qurayyat,Qurayy?t,"31,325"
Salfi,Al-'?mr?t,75
Salmah,Qurayy?t,78
Samakt,Al-'?mr?t,125
Sawqah,Qurayy?t,252
Sayh al-Qahmah / Al-Qahmah,Al-'?mr?t,94
Sifat ash-Shaykh,Masqa?,186
Siya,Qurayy?t,"2,031"
Sudiyayn,Al-'?mr?t,190
Sunaysil,Al-'?mr?t,80
Sunub,Bawshar,833
Tunis,Al-'?mr?t,216
Umq ar-Rabakh,Qurayy?t,186
Wadi al-Ghuyul,Al-'?mr?t,239
Wadi ar-Rihab,Qurayy?t,229
Wadi az-Zikt,Masqa?,105
Wasal,Qurayy?t,100
Yankit,Masqa?,652
Yiti,Masqa?,"2,713"
